ClientID,Age,RiskRate,IsMale,CompletedOrdersRatio,CanceledOrdersRatio,AvgPrice,Most_Frequent_OrderType,Most_Frequent_ExecutionStatus,Most_Frequent_SectorName,AvgOrderRate_Difference,AvgQuantityOrderedRate_Difference,Churned
67,49,Low,1,More than half,Little,16.874166666666667,Sell,Executed,Financials,Constant,Constant,0
68,31,Low,1,More than half,Moderate,20.80122721712538,Buy,Executed,Financials,Constant,Constant,1
69,60,Low,1,Less than half,Little,3.964472222222222,Buy,Executed,Energy,Increased,Increased,1
70,76,Low,1,More than half,Moderate,11.979123356926188,Buy,Executed,Financials,Constant,Constant,0
71,43,Low,0,More than half,Little,2.136156818181818,Sell,Executed,Financials,Constant,Constant,0
75,31,Low,0,Less than half,Most,0.7478544117647059,Buy,Not Executed,Industries,Increased,Increased,1
79,55,Low,1,More than half,Little,0.8076823529411765,Sell,Executed,Financials,Constant,Constant,1
80,37,Low,1,Less than half,Little,0.4292941176470588,Sell,Not Executed,REAL ESTATE,Constant,Constant,1
82,65,Low,1,All,None,4.538125,Buy,Executed,Telecommunication Services,Constant,Constant,0
93,32,Low,1,Less than half,Moderate,3.3334230769230766,Buy,Not Executed,Industries,Constant,Constant,1
94,41,Low,1,More than half,Moderate,6.729166666666668,Buy,Executed,Industries,Constant,Constant,1
96,21,Low,1,More than half,Most,32.92423076923077,Sell,Executed,Materials,Increased,Increased,0
97,50,Low,1,More than half,None,12.845714285714285,Sell,Executed,Industries,Decreased,Decreased,1
98,40,Low,1,More than half,Moderate,14.166740740740742,Sell,Executed,Financials,Constant,Constant,1
100,62,Low,1,Less than half,Moderate,35.19332222222222,Sell,Not Executed,Information Technology,Increased,Increased,1
102,64,Low,1,More than half,Little,6.074537234042553,Sell,Executed,Financials,Constant,Constant,1
103,50,Low,1,Less than half,Most,5.026724137931034,Sell,Not Executed,Financials,Increased,Increased,1
104,31,Low,1,More than half,Moderate,7.009367391452914,Buy,Executed,Financials,Increased,Increased,0
105,68,Not Assigned,1,Less than half,Most,6.18673492791612,Buy,Executed,Financials,Constant,Constant,0
106,72,Not Assigned,1,More than half,Moderate,7.305820105820106,Buy,Executed,Financials,Constant,Constant,1
107,40,Low,1,More than half,None,15.40157894736842,Sell,Executed,Information Technology,Constant,Constant,1
109,53,Low,0,More than half,Most,7.119148936170213,Sell,Executed,Basic Materials,Increased,Increased,1
110,67,Low,1,More than half,Little,17.085189873417722,Buy,Executed,Industries,Increased,Increased,1
111,70,Low,1,More than half,Moderate,5.518234945054946,Buy,Executed,Materials,Constant,Constant,0
113,66,Low,1,Less than half,Most,0.0845,Sell,Not Executed,INVESTMENT,Constant,Constant,1
117,30,Low,1,More than half,Little,39.30526291079812,Sell,Executed,Consumer Staples,Constant,Constant,1
118,22,Not Assigned,0,More than half,Most,30.63,Buy,Executed,Industries,Decreased,Decreased,1
120,70,Low,1,More than half,Moderate,5.057548004155925,Buy,Executed,Financials,Constant,Constant,0
121,47,Low,1,More than half,None,2.29,Sell,Executed,Financials,Decreased,Decreased,1
126,22,Low,1,More than half,Moderate,4.609227272727273,Buy,Executed,Financials,Increased,Increased,1
129,30,Low,0,All,None,12.540000000000001,Buy,Executed,Information Technology,Constant,Constant,0
130,68,Low,1,More than half,Moderate,4.296657407407407,Buy,Executed,INVESTMENT,Increased,Increased,0
133,47,Medium,1,More than half,None,17.256,Buy,Executed,Financials,Increased,Increased,1
136,51,Low,1,More than half,Little,8.714589552238806,Buy,Executed,Real Estate,Increased,Increased,0
137,46,Low,1,Less than half,Most,20.382275641025643,Sell,Not Executed,Financials,Increased,Increased,0
140,37,Low,1,More than half,Moderate,10.759196428571428,Sell,Executed,Industries,Increased,Increased,1
142,31,Low,1,More than half,Moderate,3.2789311740890685,Buy,Executed,Financials,Increased,Increased,0
143,38,Low,1,Less than half,Most,5.660964068546159,Sell,Executed,Financials,Constant,Constant,0
144,61,Low,0,Less than half,Little,28.53146840096798,Sell,Not Executed,Financials,Increased,Increased,0
145,70,Low,0,Less than half,Most,0.45199999999999996,Sell,Not Executed,Energy,Constant,Constant,0
148,39,Low,1,More than half,Moderate,8.779533333333333,Buy,Executed,Information Technology,Constant,Constant,1
150,30,Low,1,More than half,Moderate,4.8179921875,Buy,Executed,Financials,Increased,Increased,0
151,41,Low,1,More than half,Moderate,5.047992307692308,Buy,Executed,Financials,Increased,Increased,0
152,78,Low,0,Less than half,Moderate,92.33414216972879,Buy,Executed,Real Estate,Increased,Increased,1
155,72,Not Assigned,1,Less than half,Moderate,16.43967891865201,Sell,Not Executed,Financials,Constant,Constant,0
156,61,Low,1,None,All,38.504999999999995,Sell,Not Executed,Financials,Constant,Constant,1
158,45,Low,1,All,None,0.8097142857142857,Buy,Executed,Consumer Staples,Increased,Increased,1
159,76,Medium,1,More than half,Moderate,110.35693708293613,Sell,Executed,Materials,Increased,Increased,0
160,67,Low,1,Less than half,Most,6.421884057971015,Sell,Not Executed,Consumer Staples,Constant,Constant,1
164,38,Low,0,Less than half,Moderate,37.31612572533849,Sell,Not Executed,Financials,Increased,Increased,0
165,64,Low,1,More than half,Moderate,26.52958912498393,Buy,Executed,Financials,Increased,Increased,1
166,33,Low,1,More than half,Little,26.85260606060606,Sell,Executed,Industries,Constant,Constant,0
167,37,Low,0,None,None,3.5300000000000002,Sell,Not Executed,Consumer Discretionary,Increased,Increased,1
170,74,Low,1,More than half,None,6.8725,Buy,Executed,Financials,Increased,Increased,1
174,62,Low,0,More than half,Moderate,7.3251704119850185,Buy,Executed,Financials,Increased,Increased,1
178,49,Low,1,Less than half,Moderate,19.760494413407823,Buy,Not Executed,Real Estate,Constant,Constant,1
181,68,Medium,1,More than half,Little,1.5943749999999999,Sell,Executed,Financials,Increased,Increased,0
182,76,Low,1,Less than half,Most,38.635931338028165,Sell,Not Executed,Real Estate,Increased,Increased,0
183,26,Medium,1,More than half,Moderate,19.815791379310344,Buy,Executed,Financials,Constant,Constant,0
188,78,Low,1,Less than half,Moderate,11.143129032258065,Buy,Not Executed,Energy,Increased,Increased,0
189,38,Low,0,More than half,Moderate,6.2612499999999995,Buy,Executed,Consumer Discretionary,Constant,Constant,0
190,35,Low,1,Less than half,Moderate,17.459695067321736,Sell,Not Executed,Financials,Constant,Constant,0
192,59,Low,0,Less than half,Little,5.759181818181818,Buy,Not Executed,Health Care,Constant,Constant,0
193,26,Low,1,More than half,Little,8.725714285714286,Buy,Executed,Financials,Constant,Constant,1
194,27,Low,0,All,None,1.8055,Sell,Executed,Industries,Constant,Constant,1
196,56,Low,0,All,None,5.47,Buy,Executed,Consumer Discretionary,Increased,Increased,1
197,63,Not Assigned,1,Less than half,Little,10.252166666666668,Buy,Executed,Consumer Discretionary,Decreased,Decreased,0
198,58,Not Assigned,1,More than half,Moderate,1.4356047516198707,Sell,Executed,Financials,Constant,Constant,0
199,51,Not Assigned,1,Less than half,None,1.4565,Sell,Not Executed,Financials,Increased,Increased,0
200,33,Not Assigned,1,Less than half,Moderate,7.600004732927653,Sell,Executed,Financials,Constant,Constant,0
201,39,Medium,1,None,All,12.186666666666667,Sell,Not Executed,Financials,Increased,Increased,0
206,19,Not Assigned,1,More than half,Moderate,12.51628085106383,Buy,Executed,Industries,Decreased,Decreased,1
211,38,Low,0,More than half,Moderate,6.500328571428571,Buy,Executed,Financials,Increased,Increased,0
212,47,Low,1,More than half,Little,1.5386673511293636,Buy,Executed,Financials,Constant,Constant,0
214,66,Low,1,Less than half,Moderate,22.134806875593544,Buy,Executed,Financials,Constant,Constant,1
215,73,Low,1,More than half,Moderate,9.521686980609418,Buy,Executed,Financials,Constant,Constant,1
216,41,Low,0,None,None,2.415,Sell,Not Executed,Basic Materials,Increased,Increased,0
217,49,Medium,0,More than half,Moderate,21.370916457286434,Buy,Executed,Industries,Increased,Increased,0
218,65,Medium,1,More than half,Moderate,5.022022580645161,Sell,Executed,Consumer Discretionary,Increased,Increased,0
219,66,Medium,1,Less than half,Moderate,16.804016949152544,Sell,Not Executed,Financials,Increased,Increased,1
222,30,Low,1,More than half,Moderate,12.745833333333334,Sell,Executed,Real Estate,Increased,Increased,0
224,45,Low,0,More than half,Moderate,2.7454651162790698,Sell,Executed,Industries,Increased,Increased,1
226,53,Low,1,Less than half,Most,30.013299212598426,Sell,Not Executed,Real Estate,Increased,Increased,0
227,40,Low,0,More than half,Moderate,44.21264769322948,Buy,Executed,Industries,Constant,Constant,0
228,17,Low,1,More than half,Little,13.76279411764706,Buy,Executed,Industries,Constant,Constant,1
229,74,Low,0,More than half,Moderate,1.1331375000000001,Buy,Executed,Industries,Constant,Constant,1
230,76,Low,1,More than half,Moderate,19.956176648096562,Buy,Executed,Financials,Constant,Constant,0
231,67,Low,1,Less than half,Little,6.226163043478261,Buy,Not Executed,REAL ESTATE,Constant,Constant,0
232,29,Low,1,More than half,Moderate,6.735645161290323,Buy,Executed,Real Estate,Constant,Constant,0
234,24,Low,1,None,None,2.425,Buy,Not Executed,Health Care,Increased,Increased,1
235,59,Medium,1,Less than half,Moderate,6.937358552631578,Buy,Executed,Financials,Constant,Constant,0
237,70,Low,0,Less than half,Little,9.475527472527473,Sell,Not Executed,Financials,Constant,Constant,1
238,67,Low,1,Less than half,Most,16.921578212290502,Buy,Not Executed,Financials,Increased,Increased,1
242,74,Low,1,Less than half,Little,7.619791443850268,Sell,Not Executed,Industries,Constant,Constant,0
245,58,Low,1,Less than half,Little,8.605909090909092,Sell,Not Executed,Consumer Discretionary,Increased,Increased,1
248,74,Low,0,All,None,11.38,Sell,Executed,Financials,Constant,Constant,1
249,32,Low,1,Less than half,Moderate,9.118835087719297,Buy,Not Executed,Materials,Increased,Increased,0
250,68,Low,1,Less than half,Most,9.165966618287372,Sell,Not Executed,Financials,Constant,Constant,1
252,44,Low,1,Less than half,Moderate,21.96530909090909,Sell,Executed,Materials,Increased,Increased,1
253,74,Low,1,More than half,Little,18.853126404494382,Buy,Executed,Industries,Increased,Increased,1
257,48,Low,1,Less than half,Little,12.631194016319128,Sell,Not Executed,Information Technology,Increased,Increased,0
258,48,Low,1,More than half,Moderate,19.238062499999998,Buy,Executed,Materials,Constant,Constant,1
260,40,Low,1,Less than half,Moderate,0.6606500000000001,Sell,Not Executed,Others,Increased,Increased,0
261,43,Medium,0,More than half,Moderate,4.202598055105349,Sell,Executed,Consumer Discretionary,Increased,Increased,0
264,36,Not Assigned,0,Less than half,Moderate,11.428915046059364,Buy,Not Executed,Financials,Constant,Constant,0
265,49,Not Assigned,1,More than half,Little,22.32809356136821,Sell,Executed,Financials,Decreased,Decreased,0
266,68,Low,1,Less than half,None,2.777181818181818,Sell,Not Executed,Information Technology,Increased,Increased,0
268,38,Not Assigned,0,More than half,Little,10.443682926829268,Sell,Executed,INDUSTRIAL,Decreased,Increased,1
270,28,Not Assigned,1,Less than half,Moderate,7.38748717948718,Sell,Not Executed,Consumer Discretionary,Increased,Increased,1
271,48,Not Assigned,0,More than half,Little,18.39008130081301,Buy,Executed,Materials,Decreased,Decreased,1
272,67,Not Assigned,1,Less than half,Most,22.068181818181817,Sell,Not Executed,Industries,Decreased,Decreased,1
273,79,Low,0,More than half,Moderate,18.127255319148937,Buy,Executed,Financials,Increased,Increased,0
274,41,Low,1,Less than half,Moderate,6.319855767606823,Sell,Executed,Consumer Discretionary,Increased,Increased,0
276,63,Low,1,Less than half,Moderate,33.93560869565218,Buy,Executed,Consumer Discretionary,Constant,Constant,0
278,72,Low,1,More than half,Moderate,14.313041793313069,Buy,Executed,Consumer Staples,Increased,Increased,1
279,18,Low,1,Less than half,Moderate,11.46554815713918,Sell,Not Executed,Consumer Staples,Increased,Increased,1
280,24,Low,0,More than half,Moderate,3.1715508491118487,Buy,Executed,Financials,Increased,Increased,1
281,74,Low,1,More than half,Moderate,1.7581323529411765,Sell,Executed,FOOD,Increased,Increased,0
282,36,Low,0,More than half,Moderate,6.11399358974359,Sell,Executed,INDUSTRIAL,Increased,Increased,0
283,71,Medium,1,More than half,Moderate,8.95683611111111,Sell,Executed,Financials,Increased,Increased,0
285,69,Low,1,Less than half,Moderate,16.31607142857143,Buy,Executed,Consumer Discretionary,Constant,Constant,1
286,78,Not Assigned,1,More than half,Little,19.845753424657534,Sell,Executed,Financials,Constant,Constant,0
289,78,Not Assigned,1,Less than half,None,0.58075,Sell,Not Executed,Energy,Constant,Constant,0
290,25,Not Assigned,1,More than half,Little,6.8998,Buy,Executed,Financials,Constant,Constant,0
291,68,Not Assigned,1,More than half,Little,1.4645568181818183,Sell,Executed,Industries,Constant,Constant,1
295,34,Not Assigned,1,Less than half,Moderate,3.1085000000000003,Sell,Not Executed,Industries,Increased,Increased,0
296,62,Not Assigned,1,Less than half,Moderate,1.8633125000000001,Sell,Not Executed,Consumer Staples,Constant,Constant,0
299,41,Not Assigned,1,More than half,Moderate,5.437991701244814,Buy,Executed,Financials,Constant,Constant,1
302,70,Not Assigned,0,More than half,Moderate,12.220779220779221,Sell,Executed,Financials,Constant,Constant,1
303,37,Not Assigned,1,More than half,Moderate,35.0825,Buy,Executed,Industries,Decreased,Decreased,0
304,33,Not Assigned,1,More than half,Moderate,15.220057692307693,Buy,Executed,Financials,Constant,Constant,0
305,76,Not Assigned,1,More than half,Little,41.84638970588236,Buy,Executed,Real Estate,Constant,Constant,0
306,19,Not Assigned,1,More than half,Most,6.414545454545455,Buy,Executed,Financials,Constant,Constant,1
307,73,Not Assigned,1,Less than half,Moderate,42.3414,Buy,Not Executed,Real Estate,Decreased,Decreased,1
309,52,Not Assigned,1,Less than half,Moderate,11.87835072463768,Sell,Not Executed,Financials,Constant,Constant,0
312,57,Low,0,More than half,Moderate,6.885079636925944,Buy,Executed,Financials,Constant,Constant,0
313,45,Low,1,More than half,Moderate,1.3774166666666667,Buy,Executed,Health Care,Increased,Increased,0
315,29,Low,1,More than half,Moderate,8.403164122137404,Sell,Executed,Financials,Increased,Increased,0
316,53,Low,0,More than half,Moderate,6.889622186495178,Sell,Executed,Industries,Increased,Increased,0
317,31,Low,1,Less than half,Most,13.337655797101448,Sell,Executed,Financials,Constant,Constant,1
318,75,Low,0,More than half,None,0.29875,Buy,Executed,Financials,Constant,Constant,0
319,50,Low,1,More than half,Little,8.834647887323943,Sell,Executed,Industries,Constant,Constant,0
320,43,Low,1,Less than half,Most,1.3020303326810176,Buy,Not Executed,Financials,Increased,Increased,0
321,56,Low,1,Less than half,Most,11.718636363636364,Sell,Not Executed,Industries,Increased,Increased,0
322,68,Not Assigned,1,All,None,0.4,Buy,Executed,Tourism,Decreased,Increased,1
323,51,Not Assigned,1,More than half,Little,14.190199999999999,Buy,Executed,Industries,Decreased,Decreased,1
324,72,Not Assigned,1,More than half,Moderate,15.644693994280267,Buy,Executed,Industries,Decreased,Decreased,0
331,29,Low,1,More than half,Moderate,3.1265554812834226,Buy,Executed,Health Care,Constant,Constant,1
336,33,Low,1,Less than half,Most,3.302187725631769,Sell,Not Executed,Financials,Increased,Increased,1
337,32,Low,1,Less than half,Most,14.738,Sell,Not Executed,Energy,Increased,Increased,0
344,27,Low,1,All,None,18.34,Buy,Executed,Energy,Increased,Increased,1
346,59,Low,1,More than half,Moderate,21.276300184162064,Sell,Executed,Financials,Constant,Constant,0
350,33,Low,0,More than half,None,34.143181818181816,Sell,Executed,Financials,Constant,Constant,1
351,50,Low,0,More than half,Moderate,33.71179569892473,Sell,Executed,Industries,Constant,Constant,1
354,61,Low,0,Less than half,Moderate,4.590386834319527,Sell,Not Executed,Financials,Increased,Increased,0
355,63,Low,0,Less than half,Little,20.86444898238257,Sell,Executed,Health Care,Increased,Increased,0
357,59,Low,1,None,None,119.5,Sell,Not Executed,Industries,Constant,Constant,1
358,47,Medium,1,All,None,18.887,Buy,Executed,Financials,Increased,Increased,0
361,37,High,1,More than half,None,7.928541666666667,Sell,Executed,Financials,Constant,Constant,1
362,43,Low,1,All,None,0.3273333333333333,Buy,Executed,Industries,Constant,Constant,0
363,47,Low,0,More than half,Little,2.026793103448276,Sell,Executed,Financials,Constant,Constant,0
364,53,Low,1,More than half,Moderate,10.48221052631579,Buy,Executed,Financials,Increased,Increased,0
365,30,Medium,1,More than half,None,41.879999999999995,Buy,Executed,Financials,Increased,Increased,0
366,61,Low,0,More than half,Little,17.636400000000002,Buy,Executed,Financials,Increased,Increased,1
368,53,Low,0,More than half,Little,28.45770226537217,Buy,Executed,Financials,Constant,Constant,0
370,76,Low,1,More than half,Little,6.239816753926702,Buy,Executed,Financials,Increased,Increased,0
372,47,Medium,0,Less than half,Moderate,27.17378642714571,Sell,Not Executed,INDUSTRIAL,Constant,Constant,0
376,46,Low,0,More than half,Moderate,6.34854947312961,Buy,Executed,Consumer Discretionary,Increased,Increased,1
377,32,Low,1,More than half,Little,19.612099999999998,Sell,Executed,Materials,Increased,Increased,0
379,68,Low,1,Less than half,Moderate,6.122342885989438,Sell,Executed,Information Technology,Increased,Decreased,0
380,59,Low,1,More than half,Most,9.088,Sell,Executed,Financials,Decreased,Decreased,1
381,31,Low,1,None,All,2.3411999999999997,Sell,Not Executed,Health Care,Increased,Increased,1
384,40,Low,0,Less than half,Little,5.360736842105263,Sell,Not Executed,Information Technology,Constant,Constant,1
385,76,Low,1,Less than half,Moderate,21.484774390243903,Buy,Executed,Financials,Constant,Constant,0
387,70,Low,1,More than half,Most,5.450333333333333,Sell,Executed,Financials,Increased,Increased,1
388,67,Low,1,Less than half,Moderate,12.743966101694914,Sell,Not Executed,Consumer Discretionary,Constant,Constant,0
389,65,Low,1,All,None,1.631,Buy,Executed,Consumer Discretionary,Constant,Constant,1
390,34,Low,0,Less than half,Moderate,0.23800000000000002,Buy,Not Executed,Information Technology,Increased,Increased,0
391,48,Low,1,All,None,2.7,Sell,Executed,Materials,Increased,Increased,1
393,39,Low,1,Less than half,Moderate,3.758020833333333,Sell,Not Executed,Real Estate,Increased,Increased,0
394,34,Low,1,More than half,Little,7.567206730769231,Sell,Executed,Industries,Constant,Constant,1
396,63,Low,1,More than half,Little,5.887375534188035,Buy,Executed,Consumer Staples,Constant,Constant,0
401,77,Low,1,More than half,Little,11.66576129032258,Buy,Executed,Financials,Increased,Increased,1
403,59,Low,1,More than half,Little,32.66951798561151,Buy,Executed,Financials,Constant,Constant,0
404,51,Low,0,More than half,Little,23.654931893687706,Sell,Executed,Materials,Increased,Increased,0
405,51,Low,1,More than half,Moderate,1.8348620689655173,Sell,Executed,Real Estate,Increased,Increased,1
407,45,Low,1,None,All,17.25,Sell,Not Executed,Financials,Increased,Increased,1
408,37,Low,1,Less than half,Little,28.503734848484847,Sell,Executed,Materials,Increased,Increased,1
412,65,Not Assigned,1,Less than half,Most,5.359610526315789,Sell,Not Executed,Financials,Decreased,Increased,1
414,64,Low,1,More than half,Most,8.393642352941177,Sell,Executed,Industries,Constant,Constant,0
415,28,Low,1,More than half,Most,34.1575,Sell,Executed,INDUSTRIAL,Increased,Increased,1
416,63,Low,1,Less than half,Little,6.158870046082949,Buy,Not Executed,Information Technology,Increased,Increased,0
417,19,Low,1,Less than half,Little,26.95325,Buy,Executed,Materials,Increased,Increased,1
418,45,Medium,0,More than half,Moderate,34.06142857142857,Buy,Executed,Industries,Constant,Constant,0
419,71,Low,1,Less than half,Moderate,5.068836180124223,Sell,Not Executed,Industries,Constant,Constant,1
420,62,Low,1,More than half,Moderate,4.651178571428572,Sell,Executed,Industries,Constant,Constant,1
421,59,Low,1,Less than half,Little,17.910320000000002,Sell,Not Executed,Financials,Increased,Increased,0
423,35,Low,1,Less than half,Moderate,1.3643999999999998,Sell,Not Executed,Financials,Increased,Increased,0
425,59,Low,1,Less than half,Moderate,2.45829375,Sell,Not Executed,Health Care,Increased,Increased,1
426,66,Low,1,More than half,Little,39.16473446327684,Sell,Executed,Financials,Increased,Increased,0
427,52,Low,1,Less than half,Most,16.052057581573894,Sell,Not Executed,FOOD,Increased,Increased,0
428,58,Low,0,More than half,Moderate,8.783642276422764,Buy,Executed,Real Estate,Increased,Increased,0
429,26,Low,1,More than half,Little,20.235940886699506,Sell,Executed,Materials,Decreased,Decreased,0
430,60,Low,1,Less than half,Most,9.030652173913044,Sell,Not Executed,Information Technology,Constant,Constant,1
431,62,Low,0,More than half,Moderate,6.834087902888238,Buy,Executed,Financials,Increased,Increased,0
432,70,Low,1,Less than half,None,0.20833333333333334,Sell,Not Executed,Financials,Increased,Increased,1
434,64,Medium,1,More than half,Most,7.653111111111111,Sell,Executed,Financials,Increased,Increased,1
435,59,Low,1,More than half,Most,79.59206303724929,Buy,Executed,Real Estate,Constant,Constant,1
438,31,Low,0,Less than half,Little,35.60469764150944,Buy,Not Executed,Industries,Increased,Increased,0
439,36,Low,0,Less than half,Most,3.5546999999999995,Buy,Not Executed,Consumer Discretionary,Increased,Increased,0
441,35,Low,1,More than half,Moderate,22.58539500297442,Sell,Executed,Industries,Constant,Constant,0
442,51,Low,0,Less than half,Moderate,29.40030392894767,Sell,Not Executed,Financials,Constant,Constant,1
443,53,Low,1,Less than half,Most,3.331186234817814,Buy,Not Executed,Financials,Constant,Constant,1
444,19,Low,0,More than half,Moderate,4.290886612021858,Sell,Executed,Financials,Increased,Increased,0
445,40,Low,1,More than half,Little,6.823673469387756,Sell,Executed,INDUSTRIAL,Constant,Constant,0
446,60,Low,1,Less than half,Most,1.2956822429906543,Sell,Not Executed,Financials,Increased,Increased,0
451,35,Medium,0,More than half,Moderate,3.8528333333333333,Buy,Executed,Consumer Discretionary,Constant,Constant,0
452,43,Low,1,Less than half,Moderate,7.0267,Sell,Not Executed,INVESTMENT,Increased,Increased,0
453,41,Low,0,Less than half,Moderate,7.797272727272727,Sell,Not Executed,Industries,Increased,Increased,1
454,36,Low,0,Less than half,Little,6.054001776198934,Sell,Not Executed,Financials,Increased,Increased,0
455,67,Low,0,Less than half,Moderate,6.883534482758621,Buy,Not Executed,Information Technology,Constant,Constant,0
457,38,Low,1,More than half,Moderate,5.046223684210526,Sell,Executed,Financials,Increased,Increased,0
458,31,Low,1,All,None,13.75,Buy,Executed,INDUSTRIAL,Increased,Increased,1
459,73,Medium,0,More than half,Little,3.4290689655172413,Buy,Executed,Real Estate,Constant,Constant,1
460,75,Low,1,More than half,Moderate,57.186595555555556,Buy,Executed,Financials,Increased,Increased,1
461,35,Low,1,Less than half,Most,6.662709090909091,Buy,Not Executed,Health Care,Increased,Increased,0
464,39,Low,1,None,Most,1.7,Sell,Not Executed,Materials,Constant,Constant,1
465,52,Medium,0,Less than half,Most,1.2288882301273605,Sell,Not Executed,REAL ESTATE,Constant,Constant,0
466,41,Low,0,More than half,Moderate,3.144471204188482,Buy,Executed,Financials,Constant,Constant,0
467,76,Medium,0,Less than half,Little,10.207894736842105,Buy,Not Executed,Financials,Increased,Increased,0
468,45,Low,1,Less than half,Little,8.718375,Buy,Not Executed,Materials,Increased,Increased,1
469,56,Medium,1,More than half,Little,11.909752393980849,Buy,Executed,Industries,Decreased,Decreased,1
472,65,Low,1,More than half,Moderate,66.93187264150944,Buy,Executed,Real Estate,Increased,Increased,1
474,58,High,1,More than half,Little,33.56850067888663,Buy,Executed,Financials,Decreased,Decreased,0
475,34,Low,1,All,None,0.254,Buy,Executed,Financials,Decreased,Decreased,1
477,65,Low,1,Less than half,Moderate,26.092776041666667,Sell,Not Executed,Health Care,Increased,Increased,0
479,39,Medium,1,More than half,Little,13.914898098398652,Sell,Executed,Financials,Increased,Increased,0
480,66,Low,1,More than half,Little,9.835458333333333,Sell,Executed,Financials,Increased,Increased,0
481,57,Low,1,More than half,Moderate,9.484545454545454,Sell,Executed,Health Care,Increased,Increased,1
484,58,Low,1,Less than half,Most,27.176984701682816,Buy,Not Executed,Real Estate,Increased,Increased,0
